idx,true_label,pred_clean,pred_adv,attack_success,entropy_clean,entropy_adv,epi_clean,epi_adv,alea_clean,alea_adv,maxprob_clean,maxprob_adv
0,0,0,2,1,0.01248284,1.22542604,0.00000425,0.33903999,0.00294349,0.30563666,0.99852454,0.49865982
1,0,0,6,1,0.00018496,1.01211682,0.00000000,0.42730089,0.00002920,0.13487881,0.99998540,0.52873960
2,0,0,0,0,0.00497852,1.61742751,0.00000036,0.34901934,0.00104061,0.41986094,0.99947931,0.31567956
3,1,1,1,0,0.00150297,1.30810775,0.00000005,0.37404579,0.00027834,0.28045199,0.99986079,0.42954692
4,1,1,9,1,0.00025401,1.21365978,0.00000000,0.38002532,0.00004011,0.23768771,0.99997994,0.55903271
5,1,1,2,1,0.09580477,1.14336375,0.00016357,0.37615816,0.02706090,0.22634283,0.98627375,0.53420341
6,2,2,5,1,0.15896772,1.51065990,0.00165781,0.35493735,0.05044854,0.40274819,0.97350364,0.30521220
7,2,2,8,1,0.10427162,0.41478543,0.00045857,0.03733691,0.03225325,0.16729747,0.98345426,0.88595115
8,2,2,8,1,0.00014979,1.01473349,0.00000000,0.29264377,0.00002335,0.26486172,0.99998832,0.61269897
9,3,3,8,1,0.00037602,1.30315530,0.00000000,0.43748149,0.00006169,0.24884829,0.99996915,0.38029265
10,3,3,5,1,0.00010655,0.11582071,0.00000000,0.00078188,0.00001676,0.03806532,0.99999162,0.98029661
11,3,3,5,1,0.00118876,0.06089656,0.00000006,0.00033015,0.00023479,0.01905958,0.99988256,0.99022556
12,4,4,3,1,0.11230269,1.18413130,0.00175103,0.41713243,0.03778305,0.24136045,0.97990283,0.41409992
13,4,4,5,1,0.92128056,0.01106016,0.14206545,0.00000324,0.31459515,0.00255508,0.71700237,0.99871965
14,4,4,4,0,0.00000020,1.51064235,0.00000000,0.33118469,0.00000002,0.38843111,0.99999999,0.43135687
15,5,5,9,1,0.03984455,0.95362457,0.00010023,0.46518163,0.01212386,0.10962464,0.99385406,0.48846192
16,5,5,5,0,0.00000051,0.69040350,0.00000000,0.44933587,0.00000005,0.01343273,0.99999997,0.64505587
17,5,5,9,1,1.07199826,0.99735437,0.44688273,0.38455961,0.19757147,0.20941287,0.45431004,0.54563985
18,6,6,4,1,0.04419459,1.50888042,0.00024822,0.34249496,0.01427681,0.37095924,0.99268515,0.45119324
19,6,6,2,1,0.00147776,0.77935321,0.00000005,0.47724453,0.00026902,0.03393027,0.99986546,0.54246638
20,6,6,5,1,0.00004056,1.63310111,0.00000000,0.34205224,0.00000566,0.42496485,0.99999717,0.32493497
21,7,7,3,1,0.98753708,0.10015888,0.45249599,0.00077018,0.13902943,0.03224832,0.53976305,0.98327841
22,7,7,9,1,0.00634045,1.48469970,0.00000068,0.40391786,0.00131308,0.30845856,0.99934283,0.42402503
23,7,7,9,1,0.00474446,1.29299926,0.00000088,0.40119974,0.00105905,0.26868931,0.99946978,0.41723983
24,8,8,5,1,0.00106731,0.79413998,0.00000004,0.47033408,0.00020446,0.04730027,0.99989774,0.51403259
25,8,8,9,1,0.00021968,0.09431126,0.00000000,0.00073117,0.00003576,0.03127945,0.99998212,0.98377597
26,8,8,9,1,0.00318470,0.51498000,0.00000020,0.11230792,0.00062787,0.18116152,0.99968590,0.82415224
27,9,9,5,1,0.00408359,0.05984252,0.00000062,0.00012803,0.00091214,0.01671855,0.99954342,0.99152811
28,9,9,9,0,0.00006898,1.20409910,0.00000000,0.41271061,0.00001044,0.25201076,0.99999478,0.43709879
29,9,9,9,0,0.00000124,1.38971740,0.00000000,0.33275957,0.00000014,0.31497335,0.99999993,0.53134873
