model,coverage,kept,accuracy,risk
nn,0.5,5000,1.0,0.0
nn,0.7,7000,1.0,0.0
nn,0.8,8000,1.0,0.0
nn,0.9,9000,0.9996666666666667,0.0003333333333332966
nn,0.95,9500,0.9991578947368421,0.0008421052631578663
nn,1.0,10000,0.9914,0.008600000000000052
laplace,0.5,5000,0.1,0.9
laplace,0.7,7000,0.09771428571428571,0.9022857142857142
laplace,0.8,8000,0.098125,0.901875
laplace,0.9,9000,0.09922222222222223,0.9007777777777778
laplace,0.95,9500,0.09926315789473684,0.9007368421052632
laplace,1.0,10000,0.0997,0.9003
dnn2gp,0.5,5000,0.955,0.04500000000000004
dnn2gp,0.7,7000,0.9341428571428572,0.06585714285714284
dnn2gp,0.8,8000,0.921,0.07899999999999996
dnn2gp,0.9,9000,0.9052222222222223,0.09477777777777774
dnn2gp,0.95,9500,0.8952631578947369,0.10473684210526313
dnn2gp,1.0,10000,0.8808,0.11919999999999997
